District,Scheme,Mukim,tx_count,primary,mukim_rank
Alor Gajah,A FARMOSA GOLF RESORT,Pegoh,107,True,1
Alor Gajah,BANDAR SATELIT SEBANG,Pulau Sebang,17,True,1
Alor Gajah,BDR BARU SIMPANG EMPAT,Taboh Naning,13,True,1
Alor Gajah,CAPE RECHADO,K.Linggi,1,True,1
Alor Gajah,CRYSTAL VILLA 2,Pulau Sebang,1,True,1
Alor Gajah,KG BARU MACAP UMBOO,Machap,1,True,1
Alor Gajah,KG BARU MACHAP,Machap,6,True,1
Alor Gajah,KG BARU TABOH NANING\KEMUS,Taboh Naning,1,True,1
Alor Gajah,KPG TERSUSUN MELAKA PINDAH F III,Melaka Pindah,1,True,1
Alor Gajah,MELEKEK GARDEN,Melekek,2,True,1
Alor Gajah,PECAHAN LOT 1951,Sg Baru Ulu,1,True,1
Alor Gajah,PERKAMPONGAN AIR HITAM DARAT(RAN PER),Sg Baru Ulu,1,True,1
Alor Gajah,PERKAMPONGAN BUKIT APIT,Ayer Paabas,1,True,1
Alor Gajah,PERKAMPONGAN BUKIT APIT,Masjid Tanah,1,False,2
Alor Gajah,PERKAMPONGAN SG UDANG(KPG BARU T MERAH,Sg Baru Ulu,1,True,1
Alor Gajah,PERUMAHAN KPG GANGSA,Durian Tunggal,1,True,1
Alor Gajah,PERUMAHAN PKN PULAU SEBANG,Bdr Pulau Sebang,3,True,1
Alor Gajah,PERUMAHAN POLIS DAN TENTERA,Gadek,1,True,1
Alor Gajah,PRIMA @ A'FAMOSA,Pegoh,6,True,1
Alor Gajah,PRIMA PULAU SEBANG,Pulau Sebang,1,True,1
Alor Gajah,RESIDENSI PR1MA PULAU SEBANG,Pulau Sebang,71,True,1
Alor Gajah,RESIDENSI PR1MA PULAU SEBANG,Durian Tunggal,1,False,2
Alor Gajah,RUM AWAM ALOR GAJAH,Kelemak,3,True,1
Alor Gajah,RUM AWAM BKT BERINGIN,Masjid Tanah,2,True,1
Alor Gajah,RUM AWAM DURIAN TUNGGAL,Durian Tunggal,12,True,1
Alor Gajah,RUM AWAM KEMUNING,Kemuning,7,True,1
Alor Gajah,RUM AWAM KG PULAU,Masjid Tanah,1,True,1
Alor Gajah,RUM AWAM KUALA SG BARU  (TMN AIR MOLEK),Sg Baru Ilir,2,True,1
Alor Gajah,RUM AWAM LENDU,Lendu,5,True,1
Alor Gajah,RUM AWAM LENDU F2,Lendu,10,True,1
Alor Gajah,RUM AWAM M TANAH(TMN DATO TAMBY CHIK KAR,Masjid Tanah,10,True,1
Alor Gajah,RUM AWAM PAYA DATUK F1,Kelemak,4,True,1
Alor Gajah,RUM AWAM PULAU SEBANG,Bdr Pulau Sebang,6,True,1
Alor Gajah,RUM AWAM PULAU SEBANG,Pulau Sebang,5,False,2
Alor Gajah,RUM AWAM REMBIA,Rembia,1,True,1
Alor Gajah,RUM AWAM SERI GADEK,Pdg Sebang,4,True,1
Alor Gajah,RUM AWAM SERI GADEK,Gadek,1,False,2
Alor Gajah,RUM AWAM SERI GADEK (BKT NANGKA),Pdg Sebang,6,True,1
Alor Gajah,RUM AWAM SG PETAI,Sg Petai,8,True,1
Alor Gajah,RUM AWAM SG SIPUT,Sg Siput,1,True,1
Alor Gajah,RUM AWAM SPG 4 (TMN SERI MELEKEK),Melekek,1,True,1
Alor Gajah,RUM AWAM SRI PENGKALAN,Kelemak,7,True,1
Alor Gajah,RUM AWAM TABOH NANING,Taboh Naning,11,True,1
Alor Gajah,RUM AWAM TEBONG (TMN SRI CAHAYA),Tebong,8,True,1
Alor Gajah,RUM AWAM TG DAHAN (TMN CHERRY INDAH),Sg Baru Ilir,2,True,1
Alor Gajah,TAMAN ANJUNG AYER PA'ABAS,Melekek,65,True,1
Alor Gajah,TAMAN ANJUNG SUNGAI PETAI,Sg Petai,270,True,1
Alor Gajah,TAMAN AYER HITAM DARAT,Sg Baru Tengah,8,True,1
Alor Gajah,TAMAN BIDARA DAMAI,Sg Baru Tengah,7,True,1
Alor Gajah,TAMAN CEMPAKA INDAH,Durian Tunggal,7,True,1
Alor Gajah,TAMAN DAMAI,Sg Baru Ulu,1,True,1
Alor Gajah,TAMAN INTEGRASI LENDU,Sg Petai,26,True,1
Alor Gajah,TAMAN JERAM PERMAI,Sg Baru Ilir,19,True,1
Alor Gajah,TAMAN KUALA RIA,K.Sg Baru,7,True,1
Alor Gajah,TAMAN LENDU BAKTI(RUM AWAM LENDU F2),Lendu,2,True,1
Alor Gajah,TAMAN LESUNG BATU IMPIAN,Melaka Pindah,54,True,1
Alor Gajah,TAMAN MASJID TANAH PERDANA,Masjid Tanah,114,True,1
Alor Gajah,TAMAN PEGOH DAMAI,Pegoh,67,True,1
Alor Gajah,TAMAN PERLING IMPIAN,Melekek,25,True,1
Alor Gajah,TAMAN PERMATANG BAIDURI,K.Sg Baru,31,True,1
Alor Gajah,TAMAN PERMATANG ILMU,K.Sg Baru,1,True,1
Alor Gajah,TAMAN PULAU SEBANG INDAH,Pulau Sebang,4,True,1
Alor Gajah,TAMAN REMBIA,Rembia,1,True,1
Alor Gajah,TAMAN REMBIA DAMAI,Rembia,1,True,1
Alor Gajah,TAMAN REMBIA INDAH,Sg Petai,27,True,1
Alor Gajah,TAMAN REMBIA INDAH,Rembia,1,False,2
Alor Gajah,TAMAN SCIENTEX (BUKIT TAMBUN PERDANA),Durian Tunggal,697,True,1
Alor Gajah,TAMAN SIMPANG AMPAT INDAH,Taboh Naning,5,True,1
Alor Gajah,TAMAN TAMBUN PERWIRA,Durian Tunggal,48,True,1
Alor Gajah,TAMAN UJONG PADANG LESTARI,Sg Baru Ilir,5,True,1
Alor Gajah,TMN AIR PASIR PERDANA,Machap,7,True,1
Alor Gajah,TMN ALOR,Kelemak,6,True,1
Alor Gajah,TMN ALOR GAJAH HEIGHTS,Sg Petai,2,True,1
Alor Gajah,TMN AMAN,Kelemak,2,True,1
Alor Gajah,TMN ANGKASA NURI,Durian Tunggal,188,True,1
Alor Gajah,TMN ANGSA MAS,Durian Tunggal,8,True,1
Alor Gajah,TMN AWAN BIRU (PAKR SG PETAI),Sg Petai,6,True,1
Alor Gajah,TMN AYER MOLEK PERDANA,Sg Baru Ilir,8,True,1
Alor Gajah,TMN BAIDURI,Pulau Sebang,31,True,1
Alor Gajah,TMN BDR BARU MASJID TANAH,Masjid Tanah,16,True,1
Alor Gajah,TMN BELATOK EMAS,Durian Tunggal,16,True,1
Alor Gajah,TMN BELIMBING HARMONI,Belimbing,82,True,1
Alor Gajah,TMN BELIMBING INDAH,Belimbing,1,True,1
Alor Gajah,TMN BELIMBING SETIA,Belimbing,38,True,1
Alor Gajah,TMN BIDARA EMAS,Sg Baru Tengah,16,True,1
Alor Gajah,TMN BIDARA INDAH,Sg Baru Tengah,2,True,1
Alor Gajah,TMN BIDARA MEKAR,Sg Baru Tengah,1,True,1
Alor Gajah,TMN BIDARA PALMA,Sg Baru Tengah,42,True,1
Alor Gajah,TMN BIDARA PERMAI,Sg Baru Tengah,28,True,1
Alor Gajah,TMN BIDARA SETIA,Sg Baru Ulu,10,True,1
Alor Gajah,TMN BKT INDAH,Bdr Masjid Tanah,3,True,1
Alor Gajah,TMN BKT INDAH,Masjid Tanah,3,False,2
Alor Gajah,TMN BKT REMBIA,Rembia,3,True,1
Alor Gajah,TMN BKT RUMBIA,Rembia,5,True,1
Alor Gajah,TMN BKT TAMPIN,Pulau Sebang,6,True,1
Alor Gajah,TMN BUKIT EMAS,Sg Petai,24,True,1
Alor Gajah,TMN BUKIT INDAH FASA 2,Bdr Masjid Tanah,1,True,1
Alor Gajah,TMN CEMPAKA,Durian Tunggal,14,True,1
Alor Gajah,TMN CEMPAKA HEIGHT,Durian Tunggal,2,True,1
Alor Gajah,TMN CENDERAWASIH,Durian Tunggal,2,True,1
Alor Gajah,TMN DALONG SENTOSA,Gadek,3,True,1
Alor Gajah,TMN DATO' SETIA,Ramuan China Besar,1,True,1
Alor Gajah,TMN DESA BAYU,Sg Baru Ilir,10,True,1
Alor Gajah,TMN DESA IDAMAN,Durian Tunggal,41,True,1
Alor Gajah,TMN DESA IDAMAN,Pkn Durian Tunggal,4,False,2
Alor Gajah,TMN DESA IDAMAN 3 (PPA1M),Durian Tunggal,2,True,1
Alor Gajah,TMN DIMENSI,Sg Petai,28,True,1
Alor Gajah,TMN DURIAN TUNGGAL,Pkn Durian Tunggal,1,True,1
Alor Gajah,TMN DURIAN TUNGGAL GEMILANG,Durian Tunggal,4,True,1
Alor Gajah,TMN ECO KASA HEIGHTS,Kelemak,2,True,1
Alor Gajah,TMN ENGGANG (GANGSA HEIGHTS),Durian Tunggal,8,True,1
Alor Gajah,TMN GADEK INDAH,Gadek,1,True,1
Alor Gajah,TMN GADEK PERDANA(SERI MANGGIS),Gadek,9,True,1
Alor Gajah,TMN GANGSA,Durian Tunggal,1,True,1
Alor Gajah,TMN GANGSA IMPIAN,Durian Tunggal,5,True,1
Alor Gajah,TMN GANUN SETIA,Gadek,2,True,1
Alor Gajah,TMN GARUDA,Durian Tunggal,5,True,1
Alor Gajah,TMN INANG SARI (R.A.BERINGIN),Beringin,14,True,1
Alor Gajah,TMN INDAH (SG.UDANG),Sg Baru Ulu,60,True,1
Alor Gajah,TMN INTAN,Sg Baru Tengah,1,True,1
Alor Gajah,TMN INTEKMA,Sg Petai,17,True,1
Alor Gajah,TMN JATI INDAH,Taboh Naning,22,True,1
Alor Gajah,TMN JAYA KELEMAK,Kelemak,5,True,1
Alor Gajah,TMN JERAM PERDANA,Sg Baru Tengah,5,True,1
Alor Gajah,TMN JERAM PERDANA,Sg Baru Ilir,1,False,2
Alor Gajah,TMN KASA HEIGHTS,Kelemak,46,True,1
Alor Gajah,TMN KASAWARI,Durian Tunggal,21,True,1
Alor Gajah,TMN KEBAYA (RUM AWAM PAYA DATOK F2 & 3 ),Kelemak,47,True,1
Alor Gajah,TMN KEJORA,Tebong,5,True,1
Alor Gajah,TMN KELEMAK JAYA,Kelemak,6,True,1
Alor Gajah,TMN KELEMAK PERDANA,Kelemak,6,True,1
